time,x,der(x),der(der(x)),F_in,k,c,m
0,1,0,-1,-1,0,0,0
0.01,0.9999551201193283,-0.009954955449656867,-0.9900001646696714,-0.9900001646696714,0,0,0
0.02,0.9998111411148556,-0.01980981710574573,-0.9800013240091099,-0.9800013240091099,0,0,0
0.03,0.9995690638633947,-0.02956460035878657,-0.9700044635046081,-0.9700044635046081,0,0,0
0.04,0.999229889043627,-0.03921933040892759,-0.9600105586346994,-0.9600105586346994,0,0,0
0.05,0.9987946170384567,-0.04877404216578047,-0.9500205748726762,-0.9500205748726762,0,0,0
0.06,0.9982642478383684,-0.05822878014828623,-0.9400354676900822,-0.9400354676900822,0,0,0
0.07000000000000001,0.9976397809457825,-0.06758359838462136,-0.9300561825611612,-0.9300561825611612,0,0,0
0.08,0.9969222152804137,-0.07683856031215372,-0.9200836549682599,-0.9200836549682599,0,0,0
0.09,0.9961125490856297,-0.08599373867745767,-0.9101188104081721,-0.9101188104081721,0,0,0
0.09999999999999999,0.9952117798358073,-0.09504921543639788,-0.9001625643994094,-0.9001625643994094,0,0,0
0.11,0.9942209041446911,-0.104005081654291,-0.8902158224904001,-0.8902158224904001,0,0,0
0.12,0.9931409176747452,-0.1128614374061542,-0.8802794802685909,-0.8802794802685909,0,0,0
0.13,0.9919728150475071,-0.1216183916770506,-0.8703544233704565,-0.8703544233704565,0,0,0
0.14,0.9907175897549341,-0.1302760622625383,-0.8604415274923958,-0.8604415274923958,0,0,0
0.15,0.989376234071746,-0.1388345756692351,-0.8505416584025109,-0.8505416584025109,0,0,0
0.16,0.9879497389687623,-0.1472940670155045,-0.8406556719532577,-0.8406556719532577,0,0,0
0.17,0.9864390940272296,-0.1556546799322741,-0.8307844140949555,-0.8307844140949555,0,0,0
0.18,0.9848452873541435,-0.1639165664639931,-0.8209287208901503,-0.8209287208901503,0,0,0
0.19,0.9831693054985572,-0.1720798869697387,-0.8110894185288186,-0.8110894185288186,0,0,0
0.2,0.9814121333688804,-0.1801448100244794,-0.8012673233444011,-0.8012673233444011,0,0,0
0.21,0.9795747541511647,-0.1881115123205029,-0.7914632418306617,-0.7914632418306617,0,0,0
0.2200000000000001,0.977658149228371,-0.1959801785690175,-0.7816779706593535,-0.7816779706593535,0,0,0
0.2300000000000001,0.9756632981006257,-0.2037510014019346,-0.7719122966986911,-0.7719122966986911,0,0,0
0.2400000000000001,0.973591178306452,-0.2114241812738409,-0.762166997032611,-0.762166997032611,0,0,0
0.2500000000000001,0.9714427653449853,-0.2189999263641671,-0.7524428389808182,-0.7524428389808182,0,0,0
0.2600000000000001,0.9692190325991638,-0.2264784524795617,-0.7427405801196021,-0.7427405801196021,0,0,0
0.2700000000000001,0.9669209512598946,-0.2338599829564779,-0.7330609683034168,-0.7330609683034168,0,0,0
0.2800000000000001,0.9645494902511937,-0.2411447485639799,-0.7234047416872138,-0.7234047416872138,0,0,0
0.2900000000000001,0.9621056161562962,-0.2483329874067776,-0.7137726287495185,-0.7137726287495185,0,0,0
0.3000000000000001,0.9595902931447349,-0.2554249448284955,-0.7041653483162393,-0.7041653483162393,0,0,0
0.3100000000000001,0.9570044829003861,-0.2624208733151848,-0.6945836095852014,-0.6945836095852014,0,0,0
0.3200000000000001,0.9543491445504783,-0.2693210323990842,-0.685028112151394,-0.685028112151394,0,0,0
0.3300000000000001,0.9516252345955633,-0.2761256885626382,-0.6754995460329251,-0.6754995460329251,0,0,0
0.3400000000000001,0.9488337068404437,-0.2828351151427781,-0.6659985916976655,-0.6659985916976655,0,0,0
0.3500000000000001,0.9459755123260581,-0.2894495922354745,-0.6565259200905837,-0.6565259200905837,0,0,0
0.3600000000000002,0.9430515992623212,-0.2959694066005655,-0.6470821926617556,-0.6470821926617556,0,0,0
0.3700000000000002,0.9400629129619088,-0.3023948515668716,-0.6376680613950372,-0.6376680613950372,0,0,0
0.3800000000000002,0.9370103957749973,-0.3087262269375987,-0.6282841688373987,-0.6282841688373987,0,0,0
0.3900000000000002,0.9338949870249422,-0.3149638388960391,-0.618931148128903,-0.618931148128903,0,0,0
0.4000000000000002,0.9307176229449016,-0.3211079999115772,-0.6096096230333243,-0.6096096230333243,0,0,0
0.4100000000000002,0.9274792366153967,-0.3271590286460037,-0.600320207969393,-0.600320207969393,0,0,0
0.4200000000000002,0.9241807579028078,-0.3331172498601462,-0.5910635080426616,-0.5910635080426616,0,0,0
0.4300000000000002,0.9208231133988041,-0.3389829943208235,-0.5818401190779805,-0.5818401190779805,0,0,0
0.4400000000000002,0.9174072263606998,-0.3447565987081264,-0.5726506276525735,-0.5726506276525735,0,0,0
0.4500000000000002,0.9139340166527387,-0.3504384055230339,-0.5634956111297047,-0.5634956111297047,0,0,0
0.4600000000000002,0.9104044006882989,-0.3560287629953697,-0.5543756376929292,-0.5543756376929292,0,0,0
0.4700000000000003,0.9068192913730176,-0.3615280249921045,-0.5452912663809131,-0.5452912663809131,0,0,0
0.4800000000000003,0.9031795980488312,-0.3669365509260099,-0.5362430471228213,-0.5362430471228213,0,0,0
0.4900000000000003,0.8994862264389264,-0.3722547056646688,-0.5272315207742575,-0.5272315207742575,0,0,0
0.5000000000000002,0.8957400785936009,-0.3774828594398508,-0.5182572191537501,-0.5182572191537501,0,0,0
0.5100000000000002,0.8919420528370281,-0.3826213877572535,-0.5093206650797746,-0.5093206650797746,0,0,0
0.5200000000000002,0.8880930437149214,-0.3876706713066181,-0.5004223724083032,-0.5004223724083032,0,0,0
0.5300000000000002,0.884193941943098,-0.3926310958722243,-0.4915628460708737,-0.4915628460708737,0,0,0
