time,x,der(x),der(der(x)),F_in,k,c,m
0.3000000000000001,0.9594917086948633,-0.2553280476236429,-0.7041636610712205,0,0,0,0
0.3100000000000001,0.9569037284376306,-0.2623219734339027,-0.6945817550037279,0,0,0,0
0.3200000000000001,0.9542462828397865,-0.2692202025036035,-0.6850260803361831,0,0,0,0
0.3300000000000001,0.951520327558615,-0.2760230006649079,-0.6754973268937072,0,0,0,0
0.3400000000000001,0.9487268155590882,-0.2827306406006996,-0.6659961749583886,0,0,0,0
0.3500000000000001,0.9458666970458321,-0.2893434017492821,-0.6565232952965501,0,0,0,0
0.3600000000000002,0.9429409193960397,-0.2958615702093499,-0.6470793491866897,0,0,0,0
0.3700000000000002,0.9399504270933391,-0.3022854386452462,-0.6376649884480929,0,0,0,0
0.3800000000000002,0.9368961616626041,-0.3086153061925089,-0.6282808554700952,0,0,0,0
0.3900000000000002,0.9337790616057088,-0.3148514783637106,-0.6189275832419981,0,0,0,0
0.4000000000000002,0.9306000623382208,-0.3209942669546045,-0.6096057953836163,0,0,0,0
0.4100000000000002,0.9273600961270341,-0.3270439899505761,-0.6003161061764579,0,0,0,0
0.4200000000000002,0.9240600920289342,-0.3330009714334107,-0.5910591205955236,0,0,0,0
0.4300000000000002,0.9207009758300937,-0.3388655414883826,-0.5818354343417111,0,0,0,0
0.4400000000000002,0.9172836699864978,-0.3446380361116706,-0.5726456338748271,0,0,0,0
0.4500000000000002,0.9138090935652897,-0.3503187971181076,-0.5634902964471822,0,0,0,0
0.4600000000000002,0.9102781621870405,-0.3559081720492691,-0.5543699901377714,0,0,0,0
0.4700000000000003,0.9066917879689355,-0.3614065140819037,-0.5452852738870317,0,0,0,0
0.4800000000000003,0.9030508794688742,-0.3668141819367185,-0.5362366975321557,0,0,0,0
0.4900000000000003,0.8993563416304811,-0.3721315397875178,-0.5272248018429633,0,0,0,0
0.5000000000000002,0.8956090757290207,-0.3773589571707023,-0.5182501185583184,0,0,0,0
0.5100000000000002,0.8918099793182216,-0.3824968088951394,-0.5093131704230822,0,0,0,0
0.5200000000000002,0.8879599461779941,-0.3875454749524004,-0.5004144712255938,0,0,0,0
0.5300000000000002,0.8840598662630477,-0.3925053404273792,-0.4915545258356685,0,0,0,0
0.5400000000000003,0.8801106256523952,-0.397376795409292,-0.4827338302431032,0,0,0,0
